time,open,high,low,close,volume,symbol,name,country
2025-10-26,49905.8,50549.6,49838.98,50512.32,1221294000,N225,Nikkei 225,JP
2025-10-27,50357.15,50485.8,50107.77,50219.18,1194672200,N225,Nikkei 225,JP
2025-10-28,50453.64,51412.97,50365.62,51307.65,1296931100,N225,Nikkei 225,JP
2025-10-29,51146.27,51657.28,50972.56,51325.61,2309076300,N225,Nikkei 225,JP
2025-10-30,51629.8,52411.34,51613.03,52411.34,1802892200,N225,Nikkei 225,JP
2025-11-03,52294.31,52636.87,51497.2,51497.2,1900860600,N225,Nikkei 225,JP
2025-11-04,51291.39,51422.42,49073.58,50212.27,2197068200,N225,Nikkei 225,JP
2025-11-05,50792.55,51248.28,50594.19,50883.68,1713059200,N225,Nikkei 225,JP
2025-11-06,50524.31,50642.79,49640.56,50276.37,1467350600,N225,Nikkei 225,JP
2025-11-09,50645.27,50969.5,50392.44,50911.76,1297381900,N225,Nikkei 225,JP
2025-11-10,51314.04,51513.16,50581.17,50842.93,1259421200,N225,Nikkei 225,JP
2025-11-11,50988.53,51072.26,50537.5,51063.31,1504071500,N225,Nikkei 225,JP
2025-11-12,51013.15,51338.89,50954.27,51281.83,1357274200,N225,Nikkei 225,JP
2025-11-13,50767.74,50767.74,50246.6,50376.53,1493399200,N225,Nikkei 225,JP
2025-11-16,50282.39,50398.16,49845.86,50323.91,1260337900,N225,Nikkei 225,JP
2025-11-17,49812.95,49971.55,48661.52,48702.98,1373905600,N225,Nikkei 225,JP
2025-11-18,48822.88,49087.11,48235.3,48537.7,1364790000,N225,Nikkei 225,JP
2025-11-19,49129.29,50574.82,49113.39,49823.94,1394247300,N225,Nikkei 225,JP
2025-11-20,49251.26,49459.59,48490.03,48625.88,2122045800,N225,Nikkei 225,JP
2025-11-24,49113.82,49182.32,48511.95,48659.52,1444753700,N225,Nikkei 225,JP
2025-11-25,49012.25,49749.59,48964.19,49559.07,1341320600,N225,Nikkei 225,JP
2025-11-26,49868.79,50322.14,49865.17,50167.1,993155100,N225,Nikkei 225,JP
2025-11-27,50218.96,50258.25,49989.54,50253.91,982305400,N225,Nikkei 225,JP
2025-11-30,50318.59,50366.74,49215.96,49303.28,1181700600,N225,Nikkei 225,JP
2025-12-01,49494.58,49636.79,49243.55,49303.45,1271358800,N225,Nikkei 225,JP
2025-12-02,49540.64,50138.6,49521.23,49864.68,1195178400,N225,Nikkei 225,JP
2025-12-03,49942.94,51028.42,49910.06,51028.42,1272810200,N225,Nikkei 225,JP
2025-12-04,50530.34,50634.85,50215.41,50491.87,1192919400,N225,Nikkei 225,JP
2025-12-07,50643.09,50678.05,50224.65,50581.94,1044054400,N225,Nikkei 225,JP
2025-12-08,50677.36,50793.69,50417.11,50655.1,1070605800,N225,Nikkei 225,JP
2025-12-09,50878.66,51107.77,50329.27,50602.8,1251160100,N225,Nikkei 225,JP
2025-12-10,50818.39,50875.98,49926.27,50148.82,1098954700,N225,Nikkei 225,JP
2025-12-11,50480.23,51127.69,50457.42,50836.55,1521946600,N225,Nikkei 225,JP
2025-12-14,50352.09,50432.1,49965.68,50168.11,1219361200,N225,Nikkei 225,JP
2025-12-15,50051.24,50051.24,49355.87,49383.29,1246101700,N225,Nikkei 225,JP
2025-12-16,49413.19,49571.5,49077.81,49512.28,1132378600,N225,Nikkei 225,JP
2025-12-17,49058.31,49169.79,48643.78,49001.5,1162229200,N225,Nikkei 225,JP
2025-12-18,49387.71,49766.96,49257.15,49507.21,1633287100,N225,Nikkei 225,JP
2025-12-21,50084.55,50590.88,49982.2,50402.39,1128787200,N225,Nikkei 225,JP
2025-12-22,50374.48,50544.56,50264.42,50412.87,927083900,N225,Nikkei 225,JP
2025-12-23,50475.48,50636.95,50323.92,50344.1,832105500,N225,Nikkei 225,JP
2025-12-24,50450.18,50510.11,50283.76,50407.79,583365600,N225,Nikkei 225,JP
2025-12-25,50527.13,50941.89,50527.13,50750.39,810984600,N225,Nikkei 225,JP
2025-12-28,50691.22,50707.23,50347.65,50526.92,980050600,N225,Nikkei 225,JP
2025-12-29,50312.85,50534.64,50198.97,50339.48,936789800,N225,Nikkei 225,JP
2026-01-04,51010.28,52033.24,50995.67,51832.8,1393794900,N225,Nikkei 225,JP
2026-01-05,52157.22,52523.77,52024.62,52518.08,1518979800,N225,Nikkei 225,JP
2026-01-06,52144.64,52404.11,51830.4,51961.98,1386399400,N225,Nikkei 225,JP
2026-01-07,51769.83,51866.19,51052.83,51117.26,1353728300,N225,Nikkei 225,JP
2026-01-08,51367.98,51986.91,51189.14,51939.89,1331368200,N225,Nikkei 225,JP
2026-01-12,52808.29,53814.79,52741.64,53549.16,1684964500,N225,Nikkei 225,JP
2026-01-13,53827.24,54487.32,53792.68,54341.23,1444984700,N225,Nikkei 225,JP
2026-01-14,54039.4,54153.61,53709.87,54110.5,1509184300,N225,Nikkei 225,JP
2026-01-15,54071.28,54130.6,53706.79,53936.17,1442586100,N225,Nikkei 225,JP
2026-01-18,53390.05,53583.57,53091.45,53583.57,1229441900,N225,Nikkei 225,JP
2026-01-19,53348.59,53408.35,52852.9,52991.1,1268098200,N225,Nikkei 225,JP
2026-01-20,52228.08,52848.78,52194.81,52774.64,1390160200,N225,Nikkei 225,JP
2026-01-21,53327.39,53922.53,53242.38,53688.89,1508678800,N225,Nikkei 225,JP
2026-01-22,53898.45,54050.84,53603.68,53846.87,1294788100,N225,Nikkei 225,JP
2026-01-25,53023.28,53138.67,52656.0,52885.25,1383425200,N225,Nikkei 225,JP
2026-01-26,52847.54,53334.03,52637.66,53333.54,1367418500,N225,Nikkei 225,JP
2026-01-27,53023.88,53507.18,52788.1,53358.71,1497559300,N225,Nikkei 225,JP
2026-01-28,53301.26,53742.69,52990.42,53375.6,1544530100,N225,Nikkei 225,JP
2026-01-29,53434.73,53590.24,52923.12,53322.85,1567501100,N225,Nikkei 225,JP
2026-02-01,53575.37,54247.15,52655.18,52655.18,1537609100,N225,Nikkei 225,JP
2026-02-02,53332.18,54782.83,53307.74,54720.66,1568928100,N225,Nikkei 225,JP
2026-02-03,54250.41,54459.41,53965.51,54293.36,1863178900,N225,Nikkei 225,JP
2026-02-04,54289.05,54459.08,53653.06,53818.04,2131762200,N225,Nikkei 225,JP
2026-02-05,53435.37,54253.68,52950.15,54253.68,1888829100,N225,Nikkei 225,JP
2026-02-08,55130.63,57337.07,55018.57,56363.94,2049816300,N225,Nikkei 225,JP
2026-02-09,56812.01,57960.19,56812.01,57650.54,1914595900,N225,Nikkei 225,JP
2026-02-11,57864.74,58015.08,57554.49,57639.84,1900123100,N225,Nikkei 225,JP
2026-02-12,57197.33,57407.25,56652.48,56941.97,2100178600,N225,Nikkei 225,JP
2026-02-15,57212.97,57219.2,56748.18,56806.41,1373723300,N225,Nikkei 225,JP
2026-02-16,56819.37,56926.24,56135.12,56566.49,1325786600,N225,Nikkei 225,JP
2026-02-17,56734.27,57392.89,56734.27,57143.84,1300670900,N225,Nikkei 225,JP
2026-02-18,57472.08,57709.82,57362.01,57467.83,1355298600,N225,Nikkei 225,JP
2026-02-19,56979.74,56979.74,56680.88,56825.7,1523555300,N225,Nikkei 225,JP
2026-02-23,56764.14,57421.67,56732.93,57321.09,1578443400,N225,Nikkei 225,JP
2026-02-24,57695.4,58875.17,57656.5,58583.12,1671204700,N225,Nikkei 225,JP
2026-02-25,58995.39,59332.43,58577.84,58753.39,1553073100,N225,Nikkei 225,JP
2026-02-26,58606.03,58924.17,58130.57,58850.27,1924111600,N225,Nikkei 225,JP
2026-03-01,57976.2,58365.21,57285.77,58057.24,1624231700,N225,Nikkei 225,JP
2026-03-02,57729.8,57890.76,56091.54,56279.05,1789660100,N225,Nikkei 225,JP
2026-03-03,55470.88,55701.27,53618.2,54245.54,2139806100,N225,Nikkei 225,JP
2026-03-04,55204.16,56619.98,54910.33,55278.06,1849397800,N225,Nikkei 225,JP
2026-03-05,54674.6,55686.56,54513.43,55620.84,1428428600,N225,Nikkei 225,JP
2026-03-08,54608.63,54608.63,51407.66,52728.72,2194311300,N225,Nikkei 225,JP
2026-03-09,53524.09,54694.89,53487.19,54248.39,1624955300,N225,Nikkei 225,JP
2026-03-10,54917.93,55745.38,54882.58,55025.37,1468507600,N225,Nikkei 225,JP
2026-03-11,54387.9,54733.08,53796.01,54452.96,1540900600,N225,Nikkei 225,JP
2026-03-12,53587.3,54065.31,53286.69,53819.61,1689823600,N225,Nikkei 225,JP
2026-03-15,53627.86,53983.51,53113.95,53751.15,1287599600,N225,Nikkei 225,JP
2026-03-16,54286.26,54388.43,53482.59,53700.39,1177984100,N225,Nikkei 225,JP
2024-10-04,18968.85,19171.54,18952.44,19120.93,58395978,DAX,DAX,DE
2024-10-07,19150.27,19151.97,19011.94,19104.1,46285516,DAX,DAX,DE
2024-10-08,18937.7,19098.48,18911.72,19066.47,49308370,DAX,DAX,DE
2024-10-09,19065.18,19259.12,19007.85,19254.93,53333543,DAX,DAX,DE
2024-10-10,19242.85,19285.16,19145.42,19210.9,52366470,DAX,DAX,DE
2024-10-11,19206.31,19377.1,19175.78,19373.83,54978172,DAX,DAX,DE
2024-10-14,19409.69,19518.44,19392.64,19508.29,43005794,DAX,DAX,DE
2024-10-15,19581.57,19633.91,19457.49,19486.19,69656187,DAX,DAX,DE
2024-10-16,19465.3,19510.26,19401.54,19432.81,51088744,DAX,DAX,DE
2024-10-17,19509.79,19674.68,19499.46,19583.39,49000664,DAX,DAX,DE
2024-10-18,19543.71,19667.34,19540.2,19657.37,57112263,DAX,DAX,DE
2024-10-21,19609.42,19645.02,19451.72,19461.19,41631540,DAX,DAX,DE
2024-10-22,19528.91,19591.49,19368.69,19421.91,54437962,DAX,DAX,DE
2024-10-23,19399.33,19464.54,19330.11,19377.62,52260479,DAX,DAX,DE
2024-10-24,19417.73,19555.45,19417.73,19443.0,55469100,DAX,DAX,DE
2024-10-25,19419.52,19516.24,19388.91,19463.59,46014471,DAX,DAX,DE
2024-10-28,19528.67,19570.92,19399.16,19531.62,46669128,DAX,DAX,DE
2024-10-29,19634.33,19643.12,19465.0,19478.07,46982440,DAX,DAX,DE
2024-10-30,19403.43,19420.94,19201.24,19257.34,59541098,DAX,DAX,DE
2024-10-31,19096.68,19184.31,19004.97,19077.54,63370356,DAX,DAX,DE
2024-11-01,19093.99,19297.64,19082.1,19254.97,45756600,DAX,DAX,DE
2024-11-04,19231.86,19286.04,19147.76,19147.85,43111604,DAX,DAX,DE
